iter	Passed	Remaining
0	149	149572
1	154	77207
2	162	53993
3	166	41450
4	168	33539
5	173	28749
6	176	24977
7	177	22029
8	178	19682
9	179	17805
10	180	16263
11	181	14972
12	182	13887
13	183	12923
14	184	12093
15	184	11362
16	185	10717
17	185	10141
18	186	9637
19	187	9188
20	188	8773
21	188	8391
22	189	8040
23	189	7720
24	190	7424
25	190	7150
26	191	6897
27	191	6661
28	192	6442
29	192	6237
30	193	6046
31	193	5866
32	194	5698
33	195	5553
34	196	5418
35	197	5280
36	197	5151
37	198	5025
38	199	4904
39	199	4793
40	200	4690
41	201	4599
42	202	4511
43	203	4420
44	204	4333
45	204	4250
46	205	4166
47	205	4084
48	206	4007
49	207	3938
50	207	3867
51	208	3799
52	208	3733
53	209	3669
54	209	3607
55	210	3547
56	210	3490
57	211	3434
58	211	3380
59	212	3328
60	212	3278
61	213	3230
62	214	3185
63	215	3146
64	216	3107
65	216	3067
66	217	3025
67	217	2984
68	218	2945
69	218	2906
70	219	2869
71	219	2832
72	220	2796
73	220	2763
74	221	2737
75	222	2708
76	223	2679
77	224	2650
78	224	2622
79	225	2595
80	226	2567
81	226	2540
82	227	2510
83	227	2482
84	228	2457
85	228	2432
86	229	2410
87	230	2389
88	231	2366
89	231	2343
90	232	2319
91	232	2297
92	233	2274
93	233	2252
94	234	2233
95	235	2213
96	235	2193
97	236	2173
98	236	2154
99	237	2134
100	237	2115
101	238	2096
102	238	2078
103	239	2060
104	239	2042
105	240	2025
106	240	2008
107	241	1991
108	241	1975
109	242	1959
110	242	1943
111	243	1927
112	243	1914
113	244	1902
114	245	1890
115	246	1877
116	246	1862
117	247	1848
118	247	1833
119	248	1821
120	249	1809
121	249	1795
122	250	1782
123	250	1770
124	251	1758
125	251	1747
126	252	1734
127	252	1722
128	253	1710
129	253	1699
130	254	1688
131	255	1676
132	255	1665
133	256	1654
134	256	1644
135	257	1634
136	257	1623
137	258	1613
138	259	1606
139	260	1599
140	261	1590
141	261	1579
142	262	1571
143	263	1565
144	264	1556
145	264	1547
146	265	1538
147	266	1531
148	266	1523
149	267	1515
150	267	1506
151	268	1497
152	269	1489
153	269	1482
154	270	1474
155	270	1465
156	271	1457
157	272	1449
158	272	1442
159	273	1437
160	274	1430
161	275	1425
162	276	1420
163	277	1414
164	278	1407
165	278	1400
166	279	1394
167	280	1387
168	281	1381
169	281	1374
170	282	1367
171	282	1360
172	283	1353
173	283	1346
174	284	1339
175	284	1333
176	285	1326
177	285	1319
178	286	1312
179	286	1306
180	287	1299
181	287	1293
182	288	1288
183	289	1284
184	290	1281
185	291	1276
186	292	1270
187	292	1265
188	293	1260
189	294	1255
190	294	1249
191	295	1243
192	296	1237
193	296	1231
194	297	1226
195	297	1220
196	297	1214
197	298	1209
198	299	1203
199	299	1198
200	299	1192
201	300	1187
202	301	1181
203	301	1176
204	302	1171
205	302	1167
206	303	1164
207	305	1161
208	305	1157
209	306	1152
210	307	1148
211	307	1144
212	308	1140
213	309	1135
214	309	1130
215	310	1125
216	310	1120
217	311	1115
218	311	1110
219	311	1106
220	312	1101
221	312	1096
222	313	1092
223	313	1087
224	314	1083
225	315	1078
226	315	1074
227	316	1070
228	317	1068
229	318	1066
230	319	1063
231	320	1060
232	321	1057
233	322	1054
234	322	1051
235	323	1047
236	323	1042
237	324	1038
238	324	1034
239	325	1030
240	325	1026
241	326	1022
242	326	1018
243	327	1014
244	327	1010
245	328	1006
246	328	1002
247	329	998
248	329	994
249	330	991
250	330	987
251	331	983
252	331	979
253	332	976
254	333	973
255	333	970
256	335	968
257	335	965
